SWEAT index,K index,Totals totals index,Date,Environmental_Stability,Moisture_Indices,Convective_Potential,Temperature_Pressure,Moisture_Temperature_Profiles,TH
91.2,-1.4,24.7,01/01/1981,25.8,22.8,0.0,5636,993.98,0
75.7,1.6,30.3,02/01/1981,21.5,20.4,0.0,5592,956.13,0
128.3,17.5,41.6,04/01/1981,13.8,23.8,0.0,5581,978.71,0
194.2,23.5,50.6,05/01/1981,4.0,28.6,-55.400000000000006,5578,965.77,0
151.4,25.4,43.8,06/01/1981,6.8999999999999995,33.2,-65.0,5648,975.72,0
287.4,35.7,53.8,07/01/1981,-6.0,32.2,677.6,5590,988.05,0
93.6,12.0,32.6,08/01/1981,16.799999999999997,25.5,0.0,5591,988.33,0
87.2,14.1,32.6,09/01/1981,14.399999999999999,23.0,24.4,5540,960.95,0
67.9,14.8,35.0,10/01/1981,23.9,24.1,0.0,5603,928.51,0
64.0,22.6,29.5,11/01/1981,13.8,22.0,0.0,5599,936.57,0
89.9,22.1,42.4,12/01/1981,11.2,24.0,0.0,5566,947.49,0
73.6,21.1,47.4,13/01/1981,0.8,20.2,-76.3,5530,968.61,0
73.7,0.8,35.0,14/01/1981,15.7,19.5,0.0,5545,958.6,0
58.2,-2.6,29.9,15/01/1981,18.8,22.0,0.0,5623,961.07,0
52.4,1.2,35.2,16/01/1981,26.9,18.5,0.0,5640,953.63,0
36.9,2.0,35.8,17/01/1981,22.8,21.0,0.0,5642,963.73,0
44.6,-2.4,31.4,18/01/1981,24.4,20.5,0.0,5648,961.07,0
127.8,17.0,40.2,19/01/1981,16.1,22.9,0.0,5579,947.49,0
95.7,17.5,42.0,20/01/1981,10.5,22.2,-101.7,5546,960.95,0
99.5,10.7,37.0,21/01/1981,15.6,24.2,-115.1,5583,955.61,0
87.3,7.4,32.3,22/01/1981,14.100000000000001,17.1,0.0,5581,958.48,0
75.7,3.0,29.1,23/01/1981,18.5,19.2,0.0,5607,933.43,0
67.9,20.4,44.7,24/01/1981,-4.4,23.1,321.0,5569,973.25,0
162.4,31.0,47.4,26/01/1981,8.7,30.8,0.0,5595,968.37,0
129.0,12.6,49.4,27/01/1981,1.2999999999999998,22.9,36.5,5591,965.59,0
140.1,9.6,43.0,28/01/1981,7.300000000000001,20.6,0.0,5608,963.12,0
180.6,29.8,49.4,30/01/1981,5.6000000000000005,31.7,0.0,5656,983.26,0
337.6,36.0,54.6,31/01/1981,-4.5,36.9,774.3,5677,980.42,1
306.8,36.5,53.2,01/02/1981,-5.800000000000001,33.2,0.0,5583,1000.96,1
56.3,13.8,38.5,02/02/1981,3.8,23.8,6.399999999999999,5596,990.55,0
71.9,7.2,35.6,03/02/1981,18.0,24.2,0.0,5617,912.77,0
126.5,7.8,32.0,04/02/1981,21.4,23.6,0.0,5640,968.52,0
109.3,6.8,31.8,05/02/1981,25.2,23.0,0.0,5684,968.49,0
87.1,8.4,43.4,06/02/1981,9.2,19.5,0.0,5647,930.04,0
82.8,16.0,41.4,07/02/1981,11.2,20.8,0.0,5649,968.37,0
240.2,30.4,51.8,08/02/1981,-1.0999999999999999,29.1,320.6,5623,980.67,0
180.1,27.0,49.2,09/02/1981,9.1,24.9,0.0,5620,909.19,1
172.2,32.4,49.8,10/02/1981,2.6,29.9,25.8,5610,985.76,0
139.3,11.8,29.8,11/02/1981,23.299999999999997,24.4,0.0,5586,988.39,0
80.3,11.4,40.0,12/02/1981,14.7,18.3,0.0,5618,968.83,0
74.2,1.4,29.2,13/02/1981,18.2,20.2,0.0,5611,973.59,0
81.5,-0.8,28.7,14/02/1981,11.5,23.2,0.0,5677,975.66,0
135.9,10.0,39.6,15/02/1981,8.700000000000001,27.6,0.0,5722,978.01,0
135.3,13.8,41.8,16/02/1981,-0.8999999999999999,26.2,233.3,5691,997.6,0
162.0,16.6,43.4,17/02/1981,1.2000000000000002,28.7,244.3,5677,951.22,0
111.0,8.0,35.2,18/02/1981,14.9,19.4,0.0,5639,944.11,0
64.0,4.8,33.3,19/02/1981,13.1,15.3,0.0,5634,918.32,0
66.0,3.8,29.7,20/02/1981,15.2,15.5,0.0,5673,909.01,0
71.8,7.0,35.9,21/02/1981,13.600000000000001,19.9,0.0,5675,938.46,0
66.0,7.6,34.7,22/02/1981,9.0,16.2,0.0,5663,874.47,0
70.5,6.8,36.6,23/02/1981,18.9,21.5,0.0,5685,963.3,0
73.7,12.0,31.1,24/02/1981,4.3,14.1,0.0,5613,920.85,0
67.9,10.6,46.6,25/02/1981,2.3000000000000003,19.0,-479.0,5672,949.36,0
91.3,23.6,44.6,26/02/1981,0.9000000000000001,24.0,-178.8,5710,942.95,0
112.6,28.0,50.0,27/02/1981,3.4000000000000004,21.6,90.09999999999997,5689,934.68,0
460.2,36.6,58.2,01/03/1981,-8.9,33.8,1579.9,5689,987.57,0
203.1,29.2,52.2,02/03/1981,-5.2,25.1,754.0,5664,943.04,0
100.4,17.0,44.4,03/03/1981,9.4,22.1,0.0,5644,848.65,0
44.6,4.6,32.3,04/03/1981,19.0,21.1,0.0,5666,899.86,0
54.1,6.2,35.6,05/03/1981,11.2,21.6,0.0,5687,926.32,0
146.3,15.0,43.0,06/03/1981,13.0,26.3,0.0,5726,928.91,0
119.0,18.6,43.4,07/03/1981,5.800000000000001,25.4,-146.7,5702,945.91,0
69.8,21.0,45.3,08/03/1981,-7.6000000000000005,18.6,2002.9,5661,918.96,0
108.2,30.0,49.8,09/03/1981,-9.0,31.6,2783.6000000000004,5682,939.44,0
181.4,33.1,51.0,10/03/1981,-3.3,30.5,603.0,5675,948.84,0
403.0,34.4,59.8,11/03/1981,-12.5,38.6,2872.8,5691,985.28,1
