YEAR,MONTH,DAY,SWEAT index,Showalter index,LIFTED index,K index,Cross totals index,Vertical totals index,Totals totals index,TLCL,PLCL,CINE,CAPE,PRECIPITABLE WATER,1000-500 THICKNESS
1981,1,1,91.2,12.4,13.4,-1.4,3,21.7,24.7,284.41,993.98,0,0,22.8,5636
1981,1,2,75.7,10.2,11.3,1.6,10.2,20.1,30.3,282.11,956.13,0,0,20.4,5592
1981,1,4,128.3,6.9,6.9,17.5,16.3,25.3,41.6,284.79,978.71,0,0,23.8,5581
1981,1,5,194.2,2.8,1.2,23.5,22.5,28.1,50.6,286.68,965.77,-138.5,83.1,28.6,5578
1981,1,6,151.4,5.1,1.8,25.4,18.9,24.9,43.8,289.11,975.72,-112.9,47.9,33.2,5648
1981,1,7,287.4,-1.1,-4.9,35.7,25.9,27.9,53.8,290.75,988.05,-22.1,699.7,32.2,5590
1981,1,8,93.6,8.6,8.2,12,12.5,20.1,32.6,285.79,988.33,0,0,25.5,5591
1981,1,9,87.2,7.3,7.1,14.1,14.7,17.9,32.6,284.3,960.95,-17.1,41.5,23,5540
1981,1,10,67.9,11.5,12.4,14.8,11.9,23.1,35,280.73,928.51,0,0,24.1,5603
1981,1,11,64,6.9,6.9,22.6,2.2,27.3,29.5,282.8,936.57,0,0,22,5599
1981,1,12,89.9,5.9,5.3,22.1,17.7,24.7,42.4,284.13,947.49,0,0,24,5566
1981,1,13,73.6,0.6,0.2,21.1,20.7,26.7,47.4,285.14,968.61,-84.1,7.8,20.2,5530
1981,1,14,73.7,7.5,8.2,0.8,14.9,20.1,35,282.91,958.6,0,0,19.5,5545
1981,1,15,58.2,9.5,9.3,-2.6,9.6,20.3,29.9,283.71,961.07,0,0,22,5623
1981,1,16,52.4,13,13.9,1.2,11.1,24.1,35.2,281.5,953.63,0,0,18.5,5640
1981,1,17,36.9,11.5,11.3,2,11.1,24.7,35.8,283.54,963.73,0,0,21,5642
1981,1,18,44.6,12.3,12.1,-2.4,9.9,21.5,31.4,283.71,961.07,0,0,20.5,5648
1981,1,19,127.8,8.2,7.9,17,18.1,22.1,40.2,284.13,947.49,0,0,22.9,5579
1981,1,20,95.7,5.2,5.3,17.5,18.5,23.5,42,284.3,960.95,-112.2,10.5,22.2,5546
1981,1,21,99.5,8,7.6,10.7,16.3,20.7,37,284.43,955.61,-117.6,2.5,24.2,5583
1981,1,22,87.3,6.9,7.2,7.4,9.6,22.7,32.3,283.49,958.48,0,0,17.1,5581
1981,1,23,75.7,9.4,9.1,3,8.8,20.3,29.1,283.51,933.43,0,0,19.2,5607
1981,1,24,67.9,-0.9,-3.5,20.4,18,26.7,44.7,288.5,973.25,-30.2,351.2,23.1,5569
1981,1,26,162.4,5.3,3.4,31,22.3,25.1,47.4,286.7,968.37,0,0,30.8,5595
