SWEAT index,Showalter index,LIFTED index,K index,Cross totals index,Vertical totals index,Totals totals index,TLCL,PLCL,CINE,CAPE,PRECIPITABLE WATER,1000-500 THICKNESS,Date,TH
91.2,12.4,13.4,-1.4,3.0,21.7,24.7,284.41,993.98,0.0,0.0,22.8,5636,01/01/1981,0
75.7,10.2,11.3,1.6,10.2,20.1,30.3,282.11,956.13,0.0,0.0,20.4,5592,02/01/1981,0
128.3,6.9,6.9,17.5,16.3,25.3,41.6,284.79,978.71,0.0,0.0,23.8,5581,04/01/1981,0
194.2,2.8,1.2,23.5,22.5,28.1,50.6,286.68,965.77,-138.5,83.1,28.6,5578,05/01/1981,0
151.4,5.1,1.8,25.4,18.9,24.9,43.8,289.11,975.72,-112.9,47.9,33.2,5648,06/01/1981,0
287.4,-1.1,-4.9,35.7,25.9,27.9,53.8,290.75,988.05,-22.1,699.7,32.2,5590,07/01/1981,0
93.6,8.6,8.2,12.0,12.5,20.1,32.6,285.79,988.33,0.0,0.0,25.5,5591,08/01/1981,0
87.2,7.3,7.1,14.1,14.7,17.9,32.6,284.3,960.95,-17.1,41.5,23.0,5540,09/01/1981,0
67.9,11.5,12.4,14.8,11.9,23.1,35.0,280.73,928.51,0.0,0.0,24.1,5603,10/01/1981,0
64.0,6.9,6.9,22.6,2.2,27.3,29.5,282.8,936.57,0.0,0.0,22.0,5599,11/01/1981,0
89.9,5.9,5.3,22.1,17.7,24.7,42.4,284.13,947.49,0.0,0.0,24.0,5566,12/01/1981,0
73.6,0.6,0.2,21.1,20.7,26.7,47.4,285.14,968.61,-84.1,7.8,20.2,5530,13/01/1981,0
73.7,7.5,8.2,0.8,14.9,20.1,35.0,282.91,958.6,0.0,0.0,19.5,5545,14/01/1981,0
58.2,9.5,9.3,-2.6,9.6,20.3,29.9,283.71,961.07,0.0,0.0,22.0,5623,15/01/1981,0
52.4,13.0,13.9,1.2,11.1,24.1,35.2,281.5,953.63,0.0,0.0,18.5,5640,16/01/1981,0
